?cls	?pred	?val	?synType
<https://w3id.org/pmd/co/PMD_0000901>	<http://www.w3.org/2000/01/rdf-schema#label>	"Urformen Durch Schweissen"@de	
<https://w3id.org/pmd/co/PMD_0000858>	<http://www.w3.org/2000/01/rdf-schema#label>	"microtome"@en	
<https://w3id.org/pmd/co/PMD_0000858>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mikrotom"@de	
<https://w3id.org/pmd/co/PMD_0000014>	<http://www.w3.org/2000/01/rdf-schema#label>	"plan"@en	
<https://w3id.org/pmd/co/PMD_0000909>	<http://www.w3.org/2000/01/rdf-schema#label>	"project"@en	
<https://w3id.org/pmd/co/PMD_0000909>	<http://www.w3.org/2000/01/rdf-schema#label>	"Projekt"@de	
<https://w3id.org/pmd/co/PMD_0050103>	<http://www.w3.org/2000/01/rdf-schema#label>	"clear float glass"@en	
<https://w3id.org/pmd/co/PMD_0001009>	<http://www.w3.org/2000/01/rdf-schema#label>	"wear testing machine"@en	
<https://w3id.org/pmd/co/PMD_0001009>	<http://www.w3.org/2000/01/rdf-schema#label>	"Verschleißprüfmaschine"@de	
<https://w3id.org/pmd/co/PMD_0000585>	<http://www.w3.org/2000/01/rdf-schema#label>	"continuous simulation"@en	
<http://purl.obolibrary.org/obo/BFO_0000038>	<http://www.w3.org/2000/01/rdf-schema#label>	"one-dimensional temporal region"@en	
<http://purl.obolibrary.org/obo/BFO_0000024>	<http://www.w3.org/2000/01/rdf-schema#label>	"fiat object part"@en	
<https://w3id.org/pmd/co/PMD_0000769>	<http://www.w3.org/2000/01/rdf-schema#label>	"hand held device role"@en	
<https://w3id.org/pmd/co/PMD_0000769>	<http://www.w3.org/2000/01/rdf-schema#label>	"Handbetriebenes Geräterolle"@de	
<https://w3id.org/pmd/co/PMD_0000000>	<http://www.w3.org/2000/01/rdf-schema#label>	"material"@en	
<https://w3id.org/pmd/co/PMD_0000000>	<http://www.w3.org/2000/01/rdf-schema#label>	"Material"@de	
<https://w3id.org/pmd/co/PMD_0050124>	<http://www.w3.org/2000/01/rdf-schema#label>	"ion-exchanged glass"@en	
<https://w3id.org/pmd/co/PMD_0000577>	<http://www.w3.org/2000/01/rdf-schema#label>	"composite material"@en	
<https://w3id.org/pmd/co/PMD_0020138>	<http://www.w3.org/2000/01/rdf-schema#label>	"lot"@en	
<https://w3id.org/pmd/co/PMD_0000794>	<http://www.w3.org/2000/01/rdf-schema#label>	"injection molding machine"@en	
